ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-02-23 23:00:00+00:00,33,1,42140878,6858.25,6861.25,6857.0,6858.5,737,ES.c.0
2026-02-23 23:01:00+00:00,33,1,42140878,6858.25,6859.0,6857.25,6859.0,169,ES.c.0
2026-02-23 23:02:00+00:00,33,1,42140878,6859.25,6860.75,6859.0,6859.0,288,ES.c.0
2026-02-23 23:03:00+00:00,33,1,42140878,6858.75,6858.75,6855.75,6856.5,364,ES.c.0
2026-02-23 23:04:00+00:00,33,1,42140878,6856.5,6858.0,6856.5,6857.25,87,ES.c.0
2026-02-23 23:05:00+00:00,33,1,42140878,6856.75,6860.25,6854.75,6860.25,411,ES.c.0
2026-02-23 23:06:00+00:00,33,1,42140878,6860.25,6862.75,6859.5,6862.25,543,ES.c.0
2026-02-23 23:07:00+00:00,33,1,42140878,6861.75,6862.5,6860.75,6862.5,145,ES.c.0
2026-02-23 23:08:00+00:00,33,1,42140878,6862.5,6862.75,6861.5,6861.5,98,ES.c.0
2026-02-23 23:09:00+00:00,33,1,42140878,6861.5,6862.0,6860.25,6861.5,146,ES.c.0
2026-02-23 23:10:00+00:00,33,1,42140878,6861.5,6861.75,6860.0,6861.75,149,ES.c.0
2026-02-23 23:11:00+00:00,33,1,42140878,6862.0,6862.75,6860.5,6862.0,391,ES.c.0
2026-02-23 23:12:00+00:00,33,1,42140878,6862.0,6862.0,6859.25,6859.5,163,ES.c.0
2026-02-23 23:13:00+00:00,33,1,42140878,6859.75,6860.25,6859.25,6859.5,119,ES.c.0
2026-02-23 23:14:00+00:00,33,1,42140878,6859.25,6859.75,6858.75,6859.25,115,ES.c.0
2026-02-23 23:15:00+00:00,33,1,42140878,6859.25,6859.75,6859.0,6859.25,86,ES.c.0
2026-02-23 23:16:00+00:00,33,1,42140878,6859.5,6860.0,6859.5,6860.0,49,ES.c.0
2026-02-23 23:17:00+00:00,33,1,42140878,6860.0,6860.0,6858.0,6858.75,144,ES.c.0
2026-02-23 23:18:00+00:00,33,1,42140878,6858.75,6858.75,6857.0,6857.5,93,ES.c.0
